"Sample"	"Study"	"Site"	"Region"	"F"	"O"	"C"	"P"
"GS6_2012"	"Sharp"	"Western Canada"	"Canada"	0.7503536068	0.7422206506	0.6499292786	0.1608910891
"GS7_2012"	"Sharp"	"Western Canada"	"Canada"	0.7272151326	0.719160105	0.6739071409	0.1027242284
"GS8_2012"	"Sharp"	"Western Canada"	"Canada"	0.0525294973	0.041377081	0.032649103	0.0292548893
"GZ1"	"Wang"	"Guozu hot spring #1"	"Tibet"	0.3163265306	0.2040816327	0.1020408163	0.0408163265
"H_110715AS"	"Huang"	"Bacon-Manito Geothermal Production Field"	"Philippines"	0.199255121	0.1694599628	0.1098696462	0.0130353818
"H_110715BS"	"Huang"	"Bacon-Manito Geothermal Production Field"	"Philippines"	0.0139563107	0.0136529126	0.0136529126	0.0124393204
"H_110716DS"	"Huang"	"Bacon-Manito Geothermal Production Field"	"Philippines"	0.180781759	0.1596091205	0.0830618893	0.0175081433
"H_110716ES"	"Huang"	"Bacon-Manito Geothermal Production Field"	"Philippines"	0.8333004148	0.7540983607	0.5512541971	0.0797945882
"H_110717CS"	"Huang"	"Bacon-Manito Geothermal Production Field"	"Philippines"	0.0426829268	0.0315964523	0.0243902439	0.0138580931
"H_110717FS"	"Huang"	"Bacon-Manito Geothermal Production Field"	"Philippines"	0.7455711668	0.6890653635	0.5687232743	0.214111179
"H_Filter"	"Huo"	"Sisters Spring (Right)"	"China"	0.0129064284	0.0111690246	0.0099280218	0.002730206
"H_Filter_B"	"Huo"	"Sisters Spring (Right)"	"China"	0.0363636364	0.0363636364	0.0115702479	0.0016528926
"H_Sediment"	"Huo"	"Sisters Spring (Right)"	"China"	0.0113636364	0.0056818182	0.0056818182	0.0056818182
"HLGB_44_2007"	"Bowen"	"Yellowstone National Park"	"USA"	0.7500856751	0.6949108979	0.5835332419	0.4809801234
"HLGB_44_2008"	"Bowen"	"Yellowstone National Park"	"USA"	0.8481824661	0.8065098598	0.6859111428	0.2211451651
"HLGB_44_2009"	"Bowen"	"Yellowstone National Park"	"USA"	0.6875258158	0.6792647666	0.6724494011	0.4754233788
"HLGB_63_2007"	"Bowen"	"Yellowstone National Park"	"USA"	0.8193711135	0.8032382964	0.7452774845	0.6617388244
"HLGB_63_2008"	"Bowen"	"Yellowstone National Park"	"USA"	0.6174413182	0.6564588839	0.5224234416	0.203248873
"HLGB_63_2009"	"Bowen"	"Yellowstone National Park"	"USA"	0.8379548306	0.7728983689	0.6973023839	0.1074027604
"HLGB_75_2007"	"Bowen"	"Yellowstone National Park"	"USA"	0.9997384564	0.9997384564	0.1837224785	0.1118217699
"HLGB_75_2008"	"Bowen"	"Yellowstone National Park"	"USA"	0.9783858677	0.9786398799	0.8543355271	0.3392679829
"HLGB_75_2009"	"Bowen"	"Yellowstone National Park"	"USA"	0.9935211692	0.9912108885	0.99065843	0.0348551052
"HS1_2012"	"Sharp"	"Western Canada"	"Canada"	0.9622392395	0.9239503565	0.8954317402	0.1436493266
"J_Filter"	"Huo"	"Sisters Spring (Left)"	"China"	0.0198218903	0.0178684286	0.0177535191	0.0057454754
"J_Sediment"	"Huo"	"Sisters Spring (Left)"	"China"	0.0057283142	0.0057283142	0.0054555374	0.0005455537
"Jermuk"	"Hedlund"	"Jermuk hot spring sediment"	"Armenia"	0.41080767	0.1452643812	0.092969204	0.047646717
"K_Filter"	"Huo"	"Pearl Spring "	"China"	0.0446820175	0.0438596491	0.0441337719	0.039747807
"KP1_2012"	"Sharp"	"Western Canada"	"Canada"	0.2635484596	0.2311670789	0.2284686305	0.197436474
"KP3_2012"	"Sharp"	"Western Canada"	"Canada"	0.549611399	0.4142487047	0.3794041451	0.0703367876
"L_Filter"	"Huo"	"Pregnancy Spring (Left)"	"China"	0.1711229947	0.1604278075	0.1550802139	0.1550802139
"LL1_2011"	"Sharp"	"Western Canada"	"Canada"	0.6814961746	0.6537262681	0.6404080476	0.1127798243
"LL2_2012"	"Sharp"	"Western Canada"	"Canada"	0.9916756176	0.9857679914	0.9269602578	0.0456498389
"LL3_2011"	"Sharp"	"Western Canada"	"Canada"	0.301958307	0.2333122763	0.2870077911	0.0937039377
"LL4_2012"	"Sharp"	"Western Canada"	"Canada"	0.7710902812	0.6660088801	0.5584607795	0.1095214603
"LL5_2012"	"Sharp"	"Western Canada"	"Canada"	0.5256851582	0.4411492122	0.3739573679	0.0727525487
"LL6_2012"	"Sharp"	"Western Canada"	"Canada"	0.5730695597	0.5121250798	0.4077855775	0.0701978302
"LN1_2012"	"Sharp"	"Western Canada"	"Canada"	0.895974547	0.0782957532	0.0401161986	0.0243463826
"LN2_2012"	"Sharp"	"Western Canada"	"Canada"	0.8056777979	0.1835361118	0.1587712486	0.0811113987
"LN4_2012"	"Sharp"	"Western Canada"	"Canada"	0.7365426696	0.6888402626	0.629321663	0.306345733
"LN5_2012"	"Sharp"	"Western Canada"	"Canada"	0.4004092769	0.3115620737	0.4401432469	0.0494542974
"LOR12_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.5700813008	0.1385365854	0.0962601626	0.0380487805
"LOR17_2010"	"Sharp"	"Taupo Volcanic Zone"	"New Zealand"	0.0619686378	0.0600793501	0.0306064614	0.0249385981
